4_finetune.py:113: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
total loss: tensor(5185.4800, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5519.8813, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9528.1367, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(39955.7969, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2993.5112, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1412.7418, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6198.4380, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1738.7332, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(85012.6406, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18803.4082, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3954.3323, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3063.5132, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5954.7241, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16984.6836, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10043.7871, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9831.6436, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2310.7498, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3787.5894, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9205.6201, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4975.5278, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15810.9512, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(36530.0586, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8356.4639, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3074.0396, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3078.7810, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(40406.6914, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5707.8198, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7160.3428, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4953.3350, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14510.3086, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3233.6570, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4587.9482, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4315.9512, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1778.6589, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10218.0029, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4448.0488, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2423.8516, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4074.8435, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2312.1719, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2857.8806, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(66414.4766, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1799.9385, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(59115.7773, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19387.2715, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8559.7246, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1264757.5000, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3480.7524, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6542.4922, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3416.1396, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3227.3945, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12750.3018, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3594.1548, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8742.5244, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4022.7334, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5723.5869, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5294.3408, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3381.1743, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14023.6055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3498.4861, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1831.9993, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(50364.6562, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5472.5850, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(67310.1094, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5083.6123, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7195.9585, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17202.1973, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5421.1465, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7718.2412, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7049.3926, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15320.8008, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6409.6274, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3428.7349, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7529.3774, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9000.4619, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12361.9111, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2452.3589, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2509.5688, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1790.4290, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4540.8857, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3711.7334, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7142.3052, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2021.1445, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8513.5176, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2320.8149, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(92684.1172, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(55732.1680, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13966.0039, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14021.2217, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3051.6357, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6364.9570, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11277.1602, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(755155.1875, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2372.3450, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1370.0045, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5626.0874, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5894.1509, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5073.0791, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1845.4985, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2661.5220, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17240.1992, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3943.5305, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1976.1487, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1926.7841, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10605.1357, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3405.9272, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17921.6836, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2621.9019, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1948.0963, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6503.5791, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8622.3496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4672.0029, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2155.5593, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4297.5083, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(139508.5469, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2483.5601, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(39229.8906, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4567.5659, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(97415.6875, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(239839.7344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6317.8306, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9474.5293, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(22180.4102, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2658.4102, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(20589.4746, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8891.7568, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5329.0049, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2884.8032, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3913.4854, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3878.1055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2984.5129, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30704.7305, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(51361.9492, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1754.0007, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2084.7922, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(44557.3711, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4115.3511, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3629.0842, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(38139.1602, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5265.8174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6057.6108, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2006.3591, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3853.9722, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2028.7877, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1498.8167, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2960.0613, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1363.9937, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11421.7490, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10080.4131, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2991.8894, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7363.3110, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6949.9209, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2133.1292, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2511.7983, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4121.8486, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1797.5574, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2586.6968, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11643.4844, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4079.2056, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1736.8949, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3366.9351, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14558.5420, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10265.0283, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(184223.9375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(263070.0312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3665.5366, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2942.3740, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7169.3799, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4383.0596, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3667.5750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4534.1680, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3425.9500, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4579.2705, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(33628.7109, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3959.2012, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2307.0127, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6438.1060, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6503.2124, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7283.1919, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4629.1875, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3290.1008, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4477.3823, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2541.4756, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18569.6504, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3957.3521, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(112596.5000, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10491.2939, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4107.1733, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5953.7983, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3033.3677, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10519.5000, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5297.7456, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10268.8789, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(111271.5234, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(25847.6523, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18599.0332, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23120.4707, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6301.6768, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13956.9521, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5118.1099, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3880.2959, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(84578.1172, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5944.2905, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4352.1631, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4515.0581, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12456.6240, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5351.6953, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4617.3506, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(25497.7578, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7130.4053, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3312.9292, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3410.9351, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13571.7783, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3211.9810, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16578.1348, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17773.1270, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21738.5859, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7480.0366, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6766.1143, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(60205.0625, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(37345.0742, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(25533.9883, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1929.1985, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4871.6357, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9712.2969, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(25590.3359, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6293.2314, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3773.9761, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1306.6886, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2408.7356, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(64451.5312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2406.9119, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30982.2266, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1296.6781, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5276.5498, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1811.4507, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(32691.0879, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9156.7920, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8377.3174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1511.9351, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7930.4634, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5283.3477, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2976.4243, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4863.9146, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9623.2900, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2872.3938, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2288.9197, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1834.6577, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7123.0454, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2989.1426, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6812.8521, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4678.2173, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10434.4443, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1509.4735, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(148062.9688, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3267.1047, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19087.6016, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12721.0352, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3996.0134, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3494.4739, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1744.3750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4887.8174, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7083.7407, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5925.2432, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18785.3496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3399.6829, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14615.4150, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(876586.1250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3366.8452, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4028.3149, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5002.1606, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4197.2271, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2510.7983, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7101.7495, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14642.4746, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2711.0745, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3020.6335, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(45429.8281, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4110.7085, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1402.8695, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3045.1118, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1307.4612, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3906.7075, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8475.2295, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5914.4282, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11870.8584, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10768.8545, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5947.7520, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4565., device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2098.1270, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5148.6841, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(41878.7969, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10919.2949, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2238.1150, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2726.8027, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19332030., device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2337.6006, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16699.3047, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7970.3457, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11833.1885, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2775.7527, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7727.8496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1995.4144, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4024.3389, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(160175.5938, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3087.6865, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(61826.1172, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3149.7310, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4338.4102, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4193.4468, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15818.5684, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2351.7090, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1514.4956, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1781.0085, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7320.9722, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5054.4072, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10834.7383, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1653.7067, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14098.3115, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1617.7872, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(65333.6836, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17963.6426, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4948.4673, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4632.9878, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(75684.9922, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(164471.2656, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8525.7344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3567.4600, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3718.9893, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3118.5762, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9558.0254, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3963.9443, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4250.7495, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2567.5530, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2246.2991, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2677.1086, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2450.7534, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3959.0322, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3687.4648, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3603.2461, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3050.5322, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28099.6660, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5091.4673, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3649.0129, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(37873.8789, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5328.5010, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5804.2490, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3565.2385, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(38069.4688, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10715.0332, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2957.1519, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4409.8101, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9614.3037, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2570.5205, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(293413.6562, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9458.4502, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4258.0957, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5569.4263, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12455.6650, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5399.1519, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2351.8755, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5099.3457, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4760.3740, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6121.4536, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8484.8896, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(23695.0410, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8590.2051, device='cuda:3', grad_fn=<DivBackward0>)
